iter	Passed	Remaining
0	56	56718
1	57	28571
2	57	19181
3	58	14462
4	58	11614
5	58	9733
6	59	8387
7	59	7388
8	59	6601
9	60	5972
10	60	5452
11	60	5020
12	61	4660
13	61	4366
14	62	4102
15	63	3882
16	63	3692
17	64	3503
18	64	3342
19	65	3197
20	65	3057
21	65	2929
22	66	2811
23	66	2703
24	66	2604
25	67	2514
26	67	2433
27	67	2356
28	68	2285
29	69	2233
30	69	2174
31	70	2124
32	70	2070
33	71	2024
34	71	1974
35	72	1929
36	72	1887
37	72	1846
38	73	1809
39	73	1770
40	74	1732
41	74	1697
42	74	1663
43	75	1634
44	75	1605
45	76	1576
46	76	1549
47	76	1525
48	77	1505
49	78	1484
50	78	1463
51	79	1442
52	79	1424
53	80	1404
54	80	1383
55	80	1365
56	81	1344
57	81	1328
58	82	1309
59	82	1291
60	82	1275
61	83	1258
62	83	1243
63	83	1227
64	84	1216
65	85	1204
66	85	1194
67	86	1181
68	86	1170
69	87	1157
70	87	1143
71	87	1131
72	88	1120
73	88	1108
74	88	1095
75	89	1084
76	89	1074
77	89	1063
78	90	1052
79	90	1041
80	90	1030
81	91	1021
82	91	1011
83	92	1004
84	92	995
85	92	985
86	93	979
87	93	970
88	93	961
89	94	954
90	94	947
91	95	939
92	95	933
93	96	925
94	96	918
95	96	910
96	97	904
97	97	898
98	97	891
99	98	884
100	98	878
101	98	871
102	99	864
103	99	859
104	100	854
105	100	848
106	100	842
107	101	836
108	101	833
109	102	828
110	102	822
111	103	817
112	103	812
113	103	807
114	104	802
115	104	796
116	104	791
117	105	786
118	105	782
119	105	777
120	106	772
121	107	770
122	107	768
123	108	763
124	108	759
125	109	756
126	109	751
127	109	747
128	110	744
129	110	740
130	110	736
131	111	732
132	111	728
133	112	724
134	112	720
135	112	717
136	113	713
137	113	709
138	114	706
139	114	703
140	114	699
141	115	695
142	115	693
143	116	692
144	117	690
145	117	687
146	117	684
147	118	681
148	118	677
149	119	674
150	119	671
151	119	669
152	120	667
153	121	664
154	121	663
155	122	661
156	122	657
157	122	654
158	123	651
159	123	649
160	123	645
161	124	642
162	124	639
163	124	636
164	125	634
165	125	631
166	126	628
167	126	626
168	126	623
169	127	620
170	127	618
171	127	616
172	128	613
173	128	612
174	129	610
175	129	607
176	130	606
177	130	604
178	131	602
179	131	601
180	132	598
181	132	596
182	132	593
183	133	591
184	133	588
185	134	587
186	134	585
187	134	582
188	135	582
189	136	581
190	136	579
191	137	578
192	138	577
193	138	576
194	139	574
